Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
36001,Jaguar Mishin Sashi Senyou Soft: Mario Family,GB,2001,Misc,Jaguar  ,Jaguar  ,,,,,,,
36002,Jaguar XJ220,SCD,1993,Racing,JVC  ,Core Design Ltd.  ,,,,,,,
36003,Jaja-Kun Jr. Denshouki,GBA,2004,Action,Jaleco  ,Jaleco Entertainment  ,,,,,,,
36004,Jajamaru no Daibouken,NES,1986,Platform,Jaleco  ,Jaleco Entertainment  ,,,,,,,
36005,Jak & Daxter Collection,PS3,2012,Action,Sony Computer Entertainment  ,Mass Media  ,,,,,,,
36006,Jak and Daxter: The Lost Frontier,PSN,2009,Platform,Sony Computer Entertainment  ,High Impact Games  ,7.4,,,,,,
36007,Jak and Daxter: The Precursor Legacy,PS3,2012,Misc,SCEA  ,Unknown  ,,,,,,,
36008,Jaka Jaka Music!,DS,2010,Misc,Plato  ,Plato  ,,,,,,,
36009,Jake's Discount Video Game,XBL,2010,Platform,Microsoft  ,jacob aaronson  ,,,,,,,
36010,Jake's Room,XBL,2009,Shooter,Microsoft  ,Dennis McWilliams  ,,,,,,,
36011,Jakers! Let's Explore,Wii,2009,Adventure,Graffiti  ,Graffiti Entertainment  ,,,,,,,
36012,Jakers! Let's Explore,DS,N/A,Adventure,Unknown  ,Graffiti Entertainment  ,,,,,,,
36013,Jakers! Let's Explore,PC,N/A,Action,Unknown  ,Graffiti Entertainment  ,,,,,,,
36014,Jaleco Collection Vol. 1,PS,2003,Misc,Pacific Century Cyber Works  ,Jaleco Entertainment  ,,,,,,,
36015,Jaleco Rally - Big Run: The Supreme 4WD Challenge,SNES,1991,Racing,Jaleco  ,Jaleco Entertainment  ,,,,,,,
36016,Jam City Rollergirls,WW,2011,Sports,Unknown  ,Frozen Codebase  ,,,,,,,
36017,Jam Space: PocketStudio,DSiW,2010,Misc,HB Studios Multimedia  ,HB Studios  ,,,,,,,
36018,"James ""Buster"" Douglas Knockout Boxing",MS,1990,Sports,Sega  ,Sega  ,,,,,,,
36019,James 'Buster' Douglas Knockout Boxing,GEN,1990,Sports,Taito  ,Taito Corporation  ,,,,,,,
36020,James Bond 007,GB,1998,Action,Capcom  ,Saffire Corporation  ,,,,,,,
36021,James Bond 007,2600,1983,Action,Parker Bros.  ,Parker Brothers  ,,,,,,,
36022,James Bond 007,5200,1984,Action,Parker Bros.  ,Parker Bros  ,,,,,,,
36023,James Bond 007: The Duel,MS,1993,Platform,Domark Software  ,The Kremlin  ,,,,,,,
36024,James Bond 007: The Duel,GEN,1993,Platform,Domark Software  ,The Kremlin  ,,,,,,,
36025,James Bond Jr.,SNES,1992,Platform,THQ  ,Gray Matter  ,,,,,,,
36026,James Bond Jr.,NES,1992,Platform,THQ  ,Eurocom Entertainment Software  ,,,,,,,
36027,James Cameron's Avatar: The Game,PSN,2009,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
36028,James Clavell's Shogun,PC,1988,Adventure,Infocom  ,"Infocom, Inc.  ",,,,,,,
36029,James Pond 2: Codename RoboCod,GEN,1993,Platform,Electronic Arts  ,Millennium Interactive  ,,,,,,,
36030,James Pond 2: Codename RoboCod,GG,1993,Platform,U.S. Gold  ,Millennium  ,,,,,,,
36031,James Pond 2: Codename RoboCod,PSN,2009,Platform,System 3 Arcade Software  ,Gameware Development  ,,,,,,,
36032,James Pond 2: Codename: Robocod,MS,1991,Platform,U.S. Gold  ,Tiertex Design Studios  ,,,,,,,
36033,James Pond 3: Operation Starfish,GEN,1993,Platform,Electronic Arts  ,Millennium Interactive Ltd  ,,,,,,,
36034,James Pond: Underwater Agent,GEN,1991,Platform,Electronic Arts  ,Millennium Interactive  ,,,,,,,
36035,Jammer,XBL,2009,Misc,Microsoft  ,Polychrome  ,,,,,,,
36036,Jammit,3DO,1994,Sports,GTE Entertainment  ,GTE Entertainment  ,,,,,,,
36037,Jammit,GEN,1994,Sports,Virgin Interactive  ,GTE Vantage Inc.  ,,,,,,,
36038,Jammit,SNES,1994,Sports,GTE Entertainment  ,GTE Entertainment  ,,,,,,,
36039,Jammit,PC,1995,Sports,GTE Entertainment  ,GTE Entertainment  ,,,,,,,
36040,Jampack Volume 14 (RP-M),PS2,2006,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,,,,,
36041,Jampack Volume 15 (RP-M),PS2,2006,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,,,,,
36042,Jampack Volume 15 (RP-T),PS2,2006,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,,,,,
36043,Jamsouls,PC,2014,Action,Unknown  ,Unknown  ,,,,,,,
36044,Jan Sangoku Musou 2,PSP,2017,Misc,KOEI  ,Koei  ,,,,,,,
36045,Jane's ATF: Advanced Tactical Fighters,PC,1996,Simulation,Electronic Arts  ,Jane's Combat Simulations  ,,,,,,,
36046,Jane's Attack Squadron,PC,2002,Simulation,Xicat Interactive  ,Mad Doc Software  ,,,,,,,
36047,Jane's Combat Simulations: 688(I) Hunter/Killer,PC,1997,Simulation,Electronic Arts  ,Sonalysts  ,8.8,,,,,,
36048,Jane's F-15,PC,1998,Simulation,Electronic Arts  ,Jane's Combat Simulations  ,,,,,,,
36049,Jane's Fighters Anthology,PC,1997,Simulation,Electronic Arts  ,Jane's Fighters Anthology  ,,,,,,,
36050,Jane's Fleet Command,PC,1999,Simulation,Electronic Arts  ,Sonalysts  ,,,,,,,
36051,Jane's Hotel,PC,2008,Simulation,eGames  ,Realore Studios  ,,,,,,,
36052,Jane's Hotel,PSN,2010,Simulation,Beatshapers  ,Beatshapers  ,,,,,,,
36053,Jane's Hotel: Family Hero,PC,2008,Simulation,Realore Studios  ,Realore Studios  ,,,,,,,
36054,Jane's IAF: Israeli Air Force,PC,1998,Simulation,Electronic Arts  ,Jane's Combat Simulations  ,,,,,,,
36055,Jane's USAF: United States Air Force,PC,1999,Simulation,Electronic Arts  ,Jane's Combat Simulations  ,,,,,,,
36056,Jane's USNF'97: U.S. Navy Fighters,PC,1997,Simulation,Electronic Arts  ,Janes' Combat Simulators  ,,,,,,,
36057,Jane's: ATF NATO Fighters,PC,1996,Simulation,Electronic Arts  ,Jane's Combat Simulations  ,,,,,,,
36058,Jangou Simulation Mahjong Michi 64,N64,1997,Misc,Video System  ,Art  ,,,,,,,
36059,Jangou World Cup,SCD,1993,Misc,Victor Interactive  ,Victor Interactive Software  ,,,,,,,
36060,Janken Man,GB,1991,Action,Messiah  ,Messiah  ,,,,,,,
36061,Janken Party Paradise,WW,2010,Misc,Studio Zan  ,Studio Zan  ,,,,,,,
36062,Janline R,PS3,2009,Misc,Recom  ,Recom  ,,,,,,,
36063,Janshirou,GB,1992,Misc,Sammy Corporation  ,Sammy Studios  ,,,,,,,
36064,Janshirou 2,GB,1994,Misc,Sammy Corporation  ,Sammy Studios  ,,,,,,,
36065,Jantaku Boy,GB,1992,Misc,Namco  ,Namco  ,,,,,,,
36066,Japan Golfer's Kentei DS,DS,2009,Sports,Dimple Entertainment  ,Dimple Entertainment  ,,,,,,,
36067,Japan Super Bass Classic '96,SAT,1996,Sports,Naxat Soft  ,Naxat Soft  ,,,,,,,
36068,Jaseiken Necromancer,PCE,1988,Role-Playing,Hudson Soft  ,Hudson Soft  ,,,,,,,
36069,Jaseiken Necromancer,VC,2006,Role-Playing,Hudson Soft  ,Hudson Soft  ,,,,,,,
36070,Jaseiken Necromancer,PSN,2009,Role-Playing,Sony Computer Entertainment  ,Hudson Soft  ,,,,,,,
36071,Jaseiken Necromancer: Nightmare Reborn,DSiW,2010,Role-Playing,Hudson Soft  ,Hudson Soft  ,,,,,,,
36072,Jawa: Mammoth to Himitsu no Ishi,Wii,2008,Action,Spike  ,Spike  ,,,,,,,
36073,Jaws,NES,1987,Action,LJN  ,LJN Ltd.  ,,,,,,,
36074,Jaws Unleashed,PC,2006,Action,Majesco  ,Appaloosa Interactive  ,,,,,,,
36075,Jazz Jackrabbit,PC,1994,Platform,Epic Games  ,Epic MegaGames  ,,,,,,,
36076,Jazz Jackrabbit 2,PC,1998,Platform,Epic Games  ,Epic Games  ,,,,,,,
36077,Jazzy Billiards,DSiW,2010,Sports,Aksys Games  ,Arc System Works  ,,,,,,,
36078,Jeanne d'Arc,PSN,2008,Role-Playing,Sony Computer Entertainment  ,Level 5  ,,,,,,,
36079,Jeep Jamboree: Off Road Adventure,GB,1992,Racing,Virgin Interactive  ,Gremlin Graphics  ,,,,,,,
36080,Jeep Thrills,PS2,2008,Racing,DSI Games  ,Game Sauce  ,,,,,,,
36081,Jeff Wayne's The War of the Worlds,PC,1999,Strategy,GT Interactive  ,Rage Software  ,,,,,,,
36082,Jeff Wayne's The War of the Worlds,PS,1999,Action,GT Interactive  ,Pixelogic  ,,,,,,,
36083,Jekyll & Hyde,PC,N/A,Adventure,Unknown  ,In Utero  ,,,,,,,
36084,Jello,PS2,2006,Puzzle,Phoenix Games  ,Phoenix Games  ,,,,,,,
36085,Jelly Belly: Ballistic Beans,PS2,2009,Puzzle,Zoo Digital Publishing  ,Blue Monkey Studios  ,,,,,,,
36086,Jelly Boy,GB,1991,Platform,Ocean  ,Probe Entertainment Limited  ,,,,,,,
36087,Jelly Boy,SNES,1991,Platform,Ocean  ,Probe Entertainment Limited  ,,,,,,,
36088,Jelly Kingdoms,DSiW,N/A,Adventure,Unknown  ,Schell Games  ,,,,,,,
36089,Jelly Pops,PSN,2011,Misc,PomPom  ,PomPom Games  ,,,,,,,
36090,Jelly Splash,And,2013,Misc,wooga  ,Unknown  ,,,,,,,
36091,Jelly Splash,BRW,2013,Misc,wooga  ,Unknown  ,,,,,,,
36092,Jellycar,XBL,N/A,Racing,Unknown  ,Walaber  ,,,,,,,
36093,JellyCar 2,DSiW,2011,Racing,Disney Interactive Studios  ,Walt Disney Internet Group  ,,,,,,,
36094,JellyCar 2,WW,2011,Racing,Disney Interactive Studios  ,Walt Disney Internet Group  ,3.5,,,,,,
36095,JellyCar 2,PSN,2010,Racing,Disney Interactive Studios  ,Walt Disney Internet Group  ,,,,,,,
36096,Jellyfish MD,XBL,2011,Puzzle,Microsoft  ,Kevin Costello  ,,,,,,,
36097,Jennifer Capriati Tennis,GEN,1992,Sports,Renovation  ,System Sacom  ,,,,,,,
36098,Jeopardy!,NES,1988,Misc,GameTek  ,Rare Ltd.  ,,,,,,,
36099,Jeopardy!,GB,1991,Misc,GameTek  ,Data Design Interactive  ,,,,,,,
36100,Jeopardy!,SCD,1994,Misc,Sony Imagesoft  ,Sony Imagesoft  ,,,,,,,
36101,Jeopardy!,PSN,2008,Misc,Sony Online Entertainment  ,Sony Online Entertainment Los Angeles  ,,,,,,,
36102,Jeopardy!,PC,1998,Misc,Hasbro Interactive  ,Hasbro Interactive  ,,,,,,,
36103,Jeopardy!,SNES,1992,Misc,GameTek  ,Imagineering Inc.  ,,,,,,,
36104,Jeopardy!,GEN,1992,Misc,GameTek  ,Park Place Productions  ,,,,,,,
36105,Jeopardy! 2003,PC,2002,Misc,Atari  ,Atari  ,,,,,,,
36106,Jeopardy! 25th Anniversary,GG,1992,Misc,GameTek  ,GameTek  ,,,,,,,
36107,Jeopardy! 25th Anniversary Edition,NES,1990,Misc,GameTek  ,Rare Ltd.  ,,,,,,,
36108,Jeopardy! 2nd Edition,PC,2000,Misc,Hasbro Interactive  ,Hasbro Interactive  ,,,,,,,
36109,Jeopardy! Deluxe,PC,2007,Misc,Encore  ,Sony Pictures Digital Network  ,,,,,,,
36110,Jeopardy! Deluxe Edition,GEN,1993,Misc,GameTek  ,Park Place Productions  ,,,,,,,
36111,Jeopardy! Deluxe Edition,SNES,1994,Misc,GameTek  ,Imagineering Inc.  ,,,,,,,
36112,Jeopardy! Junior Edition,NES,1989,Misc,GameTek  ,Rare Ltd.  ,,,,,,,
36113,Jeopardy! Platinum Edition,GB,1996,Misc,GameTek  ,Data Design Interactive  ,,,,,,,
36114,Jeopardy! Sports Edition,GB,1994,Misc,GameTek  ,Data Design Interactive  ,,,,,,,
36115,Jeopardy! Sports Edition,GG,1994,Misc,GameTek  ,GameTek  ,,,,,,,
36116,Jeopardy! Sports Edition,GEN,1993,Misc,GameTek  ,Park Place Productions  ,,,,,,,
36117,Jeopardy! Sports Edition,SNES,1994,Misc,GameTek  ,Imagineering Inc.  ,,,,,,,
36118,Jeopardy! Super Deluxe,PC,2008,Misc,Encore  ,Sony Pictures Digital Network  ,,,,,,,
36119,Jeopardy! Teen Tournament,GB,1996,Misc,GameTek  ,Data Design Interactive  ,,,,,,,
36120,Jeremy McGrath Supercross 2000,DC,1999,Racing,Acclaim Entertainment  ,Acclaim Entertainment  ,4.4,,,,,,
36121,Jeremy McGrath Supercross 2000,GB,2000,Racing,Acclaim Entertainment  ,M4 Limited  ,,,,,,,
36122,Jeremy McGrath's Offroad,PSN,N/A,Racing,Unknown  ,2XL Games  ,,,,,,,
36123,Jeremy McGrath's Offroad,XBL,N/A,Racing,Unknown  ,2XL Games  ,,,,,,,
36124,Jerry Glanville's Pigskin Footbrawl,GEN,1992,Sports,Razorsoft  ,Developer Resources  ,,,,,,,
36125,Jerry Rice and Nitus' Dog Football,PC,N/A,Sports,Unknown  ,Judo Baby  ,,,,,,,
36126,Jesus II,PC,1991,Adventure,Enix  ,Enix Corporation  ,,,,,,,
36127,Jesus Matchup,PC,N/A,Strategy,Unknown  ,Godly Games  ,,,,,,,
36128,Jesus: Kyōfu no Bio-Monster,NES,1989,Adventure,King Records  ,"Enix corporation., Chunsoft Co., Ltd.  ",,,,,,,
36129,Jesus: Kyōfu no Bio-Monster,PC,N/A,Adventure,Unknown  ,Enix Corporation  ,,,,,,,
36130,Jet Coaster Dream 2,DC,2000,Simulation,Bimboosoft  ,Bimboosoft  ,9.4,,,,,,
36131,Jet de Go! 2: Let's Go By Airliner,PS2,2002,Simulation,Taito  ,Taito Corporation  ,,,,,,,
36132,Jet de Go! Pocket: Let's Go By Airliner,PSP,2005,Simulation,Taito  ,Taito Corporation  ,,,,,,,
36133,Jet de Go!: Let's Go By Airliner,GB,2000,Simulation,Altron  ,Altron  ,,,,,,,
36134,Jet de Go!: Let's Go By Airliner,PS,2000,Simulation,Taito  ,Taito Corporation  ,,,,,,,
36135,Jet Grind Radio,DC,2000,Action,Sega  ,Smilebit  ,9.1,,,,,,
36136,Jet Grind Radio,XBL,N/A,Action,Unknown  ,Smilebit  ,,,,,,,
36137,Jet Gunner,PC,2014,Action,Unknown  ,Unknown  ,,,,,,,
36138,Jet Moto,PC,1997,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,,,,,
36139,Jet Moto,PSN,2007,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,,,,,
36140,Jet Moto 2,PSN,2008,Racing,Sony Computer Entertainment  ,SingleTrac  ,,,,,,,
36141,Jet Pack War,XBL,2010,Shooter,Microsoft  ,Super Boise 2  ,,,,,,,
36142,Jet Star Universe,XBL,2011,Shooter,Microsoft  ,Duane Hoyt  ,,,,,,,
36143,Jetpac,PC,1983,Action,Unknown  ,Ashby Computers and Graphics Ltd.  ,,,,,,,
36144,Jetpac Refuelled,XBL,2007,Shooter,Microsoft Game Studios  ,Rare Ltd.  ,8.0,,,,,,
36145,Jetpack Joyride,iOS,2011,Shooter,Halfbrick Studios  ,Halfbrick Studios  ,8.7,,,,,,
36146,Jetpack Joyride,PSV,2012,Misc,Big Ant Studios  ,Unknown  ,,,,,,,
36147,Jetpack Joyride,PS3,2012,Misc,Big Ant Studios  ,Unknown  ,,,,,,,
36148,Jetpack Joyride,PSP,2012,Misc,Beatshapers  ,Unknown  ,,,,,,,
36149,Jetpack Joyride,And,2012,Misc,Halfbrick Studios  ,Unknown  ,,,,,,,
36150,Jetpack Joyride,PC,2012,Action,Halfbrick Studios  ,Halfbrick Studios  ,,,,,,,
36151,Jett Rocket,WW,2010,Platform,Shin'en  ,Shin'en Multimedia  ,,,,,,,
36152,Jett Rocket II: The Wrath of Taikai,3DS,2013,Misc,Shin'en  ,Unknown  ,,,,,,,
36153,Jett Tailfin,WiiU,2014,Racing,Hoplite Research  ,Hoplite Research  ,,,,,,,
36154,Jewel Adventures,3DS,2013,Misc,Enjoy Gaming ltd.  ,Unknown  ,,,,,,,
36155,Jewel Keepers: Easter Island,PSN,2010,Puzzle,Nordcurrent  ,Nordcurrent  ,,,,,,,
36156,Jewel Keepers: Easter Island,WW,2011,Puzzle,Nordcurrent  ,Nordcurrent  ,,,,,,,
36157,Jewel Keepers: Easter Island,DSiW,2011,Puzzle,Nordcurrent  ,Nordcurrent  ,6.0,,,,,,
36158,Jewel Mania,And,2012,Misc,TeamLava  ,Unknown  ,,,,,,,
36159,Jewel Master,GEN,1991,Action,Sega  ,Sega  ,,,,,,,
36160,Jewel Match,PC,2007,Puzzle,iWin   ,iWin  ,,,,,,,
36161,Jewel Match 3,PC,N/A,Strategy,Unknown  ,Suricate Software  ,,,,,,,
36162,Jewel Match 3,MS,N/A,Strategy,Unknown  ,Suricate Software  ,,,,,,,
36163,Jewel Match 3,DS,2013,Strategy,Avanquest Software  ,Suricate Software  ,,,,,,,
36164,Jewel Pet: Mahou no DS Kirapi Kariin,DS,2009,Simulation,MTO  ,MTO  ,,,,,,,
36165,Jewel Pet: Mahou no Oheyya de Issho ni Asobou!,DS,2010,Simulation,MTO  ,MTO  ,,,,,,,
36166,Jewel Quest,PC,2004,Puzzle,Mumbo Jumbo  ,"iWin, Inc.  ",8.0,,,,,,
36167,Jewel Quest,XBL,2006,Puzzle,iWin   ,"iWin, Inc.  ",6.8,,,,,,
36168,Jewel Quest III,PC,2009,Action,Avanquest Software  ,Unknown  ,,,,,,,
